class,fea5
1.0,0.10482949
1.0,0.00748894
1.0,-0.00769798
1.0,-0.19131592
1.0,-0.10852759
1.0,0.05045003
1.0,-0.11929743
1.0,0.10748298
1.0,-0.13445921
1.0,2.799e-05
1.0,0.11287332
1.0,0.01285557
1.0,0.03905335
1.0,0.00763973
1.0,-0.08581160000000003
1.0,0.03574572
1.0,-0.00402692
1.0,-0.12276572
1.0,-0.04906799
1.0,-0.07669757
1.0,-0.033536
1.0,-0.07439257
1.0,0.10027733
1.0,-0.04612736
1.0,0.00521394
1.0,-0.03488161
1.0,0.02749523
1.0,-0.01861047
1.0,0.12540426
1.0,-0.02509477
1.0,0.13403573
1.0,0.09687279
1.0,0.12330127
1.0,-0.12877239
1.0,0.00215436
0.0,0.06851532
0.0,-0.01768249
0.0,-0.00225463
0.0,0.07303275
0.0,0.07846134
0.0,0.01421505
0.0,0.07105749
0.0,0.01451238
0.0,-0.01275619
0.0,-0.02101902
0.0,0.03580377
0.0,0.06594033
0.0,0.01911671
0.0,0.08354509
0.0,0.05445934
0.0,-0.01718627
0.0,0.13343970000000002
0.0,-0.08910391
0.0,0.01307082
0.0,0.01732785
0.0,-0.10788923
0.0,-0.03703754
0.0,0.00271961
0.0,0.09280412
0.0,-0.09860995
0.0,0.03241796
0.0,0.17994622
0.0,0.09645665
0.0,-0.11025522
0.0,0.00044546
0.0,0.00584341
0.0,-0.03833627
0.0,-0.06013006
0.0,0.07193616
0.0,-0.02732866
0.0,0.03958379
0.0,0.07675782
0.0,-0.0292013
